COUNTRY_NAME,HDI,LEB,EYS,MYS,GNI,OLSI
Norway,0.94942283449106400000,81.71100000000000000000,17.67187000000000000000,12.74642000000000000000,67614.35348000000000000000,7.60000000000000000000
Australia,0.93867953564660900000,82.53700000000000000000,20.43272000000000000000,13.17510000000000000000,42822.19627000000000000000,7.30000000000000000000
Switzerland,0.93913086905938000000,83.13300000000000000000,16.04041000000000000000,13.37000000000000000000,56363.95780000000000000000,7.60000000000000000000
Germany,0.92566894107166200000,81.09200000000000000000,17.09594000000000000000,13.18762553000000000000,44999.64714000000000000000,7.00000000000000000000
Denmark,0.92464936963657000000,80.41200000000000000000,19.18880000000000000000,12.70017000000000000000,44518.92402000000000000000,7.50000000000000000000
Singapore,0.92486593283003300000,83.20900000000000000000,15.40000000000000000000,11.57241000000000000000,78162.32387000000000000000,6.60000000000000000000
Netherlands,0.92431217122129200000,81.70600000000000000000,18.11654000000000000000,11.91407000000000000000,46325.57658000000000000000,7.30000000000000000000
Ireland,0.92274576658415600000,81.05200000000000000000,18.57920000000000000000,12.31397813000000000000,43797.96814000000000000000,6.80000000000000000000
Iceland,0.92110959807902100000,82.72400000000000000000,18.99422000000000000000,12.19089155000000000000,37065.21451000000000000000,7.50000000000000000000
Canada,0.92028441365135000000,82.22400000000000000000,16.32500000000000000000,13.10511486000000000000,42581.91433000000000000000,7.30000000000000000000
United States,0.91955305574123600000,79.22200000000000000000,16.53815000000000000000,13.21789033000000000000,53245.07696000000000000000,7.20000000000000000000
Hong Kong,0.91715731885613900000,84.16300000000000000000,15.67329000000000000000,11.59066599000000000000,54264.91478000000000000000,5.50000000000000000000
New Zealand,0.91490005551210100000,82.02600000000000000000,19.22820000000000000000,12.50300000000000000000,32870.07836000000000000000,7.40000000000000000000
Sweden,0.91270610053091100000,82.34700000000000000000,16.05545884000000000000,12.27370000000000000000,46250.79382000000000000000,7.30000000000000000000
Liechtenstein,0.91151748348766100000,80.16100000000000000000,14.63511000000000000000,12.35198793000000000000,75064.84111000000000000000,..
United Kingdom,0.90949090590835100000,80.84900000000000000000,16.31090000000000000000,13.28412000000000000000,37930.82701000000000000000,6.50000000000000000000
Japan,0.90346208021830900000,83.68400000000000000000,15.34048000000000000000,12.46400000000000000000,37267.96407000000000000000,5.90000000000000000000
South Korea,0.90099212962514800000,82.12800000000000000000,16.58752000000000000000,12.17921107000000000000,34540.64927000000000000000,5.80000000000000000000
Israel,0.89888592718751600000,82.56100000000000000000,15.99801000000000000000,12.76185000000000000000,31214.71480000000000000000,7.40000000000000000000
Luxembourg,0.89846472062553000000,81.88100000000000000000,13.86373000000000000000,11.95083323000000000000,62470.59129000000000000000,6.70000000000000000000
France,0.89743589247623600000,82.35900000000000000000,16.26508000000000000000,11.62517418000000000000,38085.40033000000000000000,6.40000000000000000000
Belgium,0.89551414547819000000,80.98400000000000000000,16.63527000000000000000,11.38096000000000000000,41243.31382000000000000000,6.90000000000000000000
Finland,0.89451744391060500000,81.00600000000000000000,17.04792000000000000000,11.19400000000000000000,38868.13552000000000000000,7.40000000000000000000
Austria,0.89340501455036500000,81.58300000000000000000,15.91223000000000000000,11.33397586000000000000,43608.82387000000000000000,7.10000000000000000000
Slovenia,0.89030282423009200000,80.57500000000000000000,17.34830000000000000000,12.12194000000000000000,28664.21147000000000000000,5.70000000000000000000
Italy,0.88655211094556600000,83.33800000000000000000,16.25827000000000000000,10.86879343000000000000,33572.98249000000000000000,5.80000000000000000000
Spain,0.88415325462749300000,82.76700000000000000000,17.70032000000000000000,9.79079000000000000000,32778.51507000000000000000,6.40000000000000000000
Czech Republic,0.87784192448426400000,78.77500000000000000000,16.81404000000000000000,12.33225000000000000000,28143.97758000000000000000,6.60000000000000000000
Greece,0.86587309619735000000,81.07100000000000000000,17.21752000000000000000,10.53946000000000000000,24807.53589000000000000000,5.60000000000000000000
Brunei Darussalam,0.86493670958082900000,79.01900000000000000000,14.94486000000000000000,9.02000000000000000000,72843.46609000000000000000,..
Estonia,0.86511837994393700000,77.01200000000000000000,16.50275000000000000000,12.54744874000000000000,26361.89394000000000000000,5.60000000000000000000
Andorra,0.85845165619693000000,81.45800000000000000000,13.52401627000000000000,10.25508000000000000000,47979.45411000000000000000,..
Cyprus,0.85564584573922100000,80.33200000000000000000,14.25613000000000000000,11.69523000000000000000,29458.52269000000000000000,5.40000000000000000000
Malta,0.85585077490843200000,80.72600000000000000000,14.59462000000000000000,11.27129000000000000000,29499.56023000000000000000,6.60000000000000000000
Qatar,0.85553072660870600000,78.32300000000000000000,13.40610000000000000000,9.76463000000000000000,129915.60090000000000000000,6.40000000000000000000
Poland,0.85522878871657300000,77.62000000000000000000,16.37393000000000000000,11.90293000000000000000,24116.99224000000000000000,6.00000000000000000000
Lithuania,0.84809856296538500000,73.49500000000000000000,16.52306000000000000000,12.70211000000000000000,26006.47764000000000000000,5.70000000000000000000
Chile,0.84662595135650200000,81.95600000000000000000,16.33560000000000000000,9.89650000000000000000,21665.45797000000000000000,6.80000000000000000000
Saudi Arabia,0.84660191109377800000,74.44400000000000000000,16.11227000000000000000,9.62752000000000000000,51320.11323000000000000000,6.30000000000000000000
Slovakia,0.84494758216735400000,76.40900000000000000000,14.96488000000000000000,12.22690128000000000000,26763.61725000000000000000,6.20000000000000000000
Portugal,0.84265809752480200000,81.18300000000000000000,16.56576000000000000000,8.88247000000000000000,26103.62927000000000000000,5.10000000000000000000
United Arab Emirates,0.83979915947908800000,77.11900000000000000000,13.33000000000000000000,9.50000000000000000000,66203.29979000000000000000,6.60000000000000000000
