PIXELS,LC,COUNTRY_ID
37410,130,521
180,190,268
18,201,185
14207,90,39
99316,70,38
140692,80,37
1045,190,466
478,201,466
4674,190,39
1054142,220,36
2910713,60,37
1927,180,39
263,70,465
51,11,466
1292,201,521
9,190,240
6,190,465
29,201,464
20,160,521
279124,110,436
387051,100,436
527836,180,436
210904,150,436
4191429,70,436
607073,210,436
5960,122,436
190782,60,436
10514,152,436
19036,130,436
41930,200,436
2189,201,436
104,80,436
161523,90,436
30,60,266
1464,61,39
1475533,61,37
14,160,439
6632,160,466
3288,60,39
101,71,267
2031,120,464
1214,71,265
37296,40,464
278679,61,36
78,180,440
75,72,38
5466,160,38
70413,11,436
30484,30,436
48,110,38
465814,10,436
44836,40,436
12380958,60,36
2,153,40
35287,90,38
31440,190,436
3693,90,466
11310,11,464
362193,10,464
3897,220,436
166,160,436
21,153,461
2,71,266
5909,160,522
18,160,465
3,130,186
60,80,464
42,60,522
250,90,522
3065,120,436
18,72,40
12,140,186
4372,62,37
1,153,267
177113,61,461
3773,210,435
42,180,435
937,70,435
77412,120,247
11877,90,247
415,80,466
3,11,266
3,40,266
4,90,266
16,90,465
491,70,248
426,150,261
437,210,261
458,130,261
46,140,261
40035,70,463
8784,210,463
1162,180,463
59401,110,259
387046,150,259
40027,210,259
215622,140,259
338675,130,259
199,110,261
119794,180,259
7328,210,462
335820,200,259
375,210,260
182144,220,259
287,40,463
3513,120,259
3371,100,463
5896,210,434
2040,90,463
27198,70,434
1538,100,434
646,90,434
730,70,462
13,120,463
2441,10,463
16,30,440
70,180,261
160,150,463
91,122,259
10,130,260
731,190,259
130,150,260
439,100,259
1,80,440
122,190,463
352,60,463
128,200,435
52,11,463
662,180,434
1584,150,434
1920,30,463
8,10,440
374,60,434
649,200,434
190,150,435
43,201,463
273,200,462
99,90,462
35251,130,247
521,130,434
339,190,434
227,150,462
15,100,435
22,140,260
41,110,434
126,180,462
237,200,463
4,190,187
37,110,260
26,60,259
1,122,261
22,200,260
47,202,434
142,30,434
1942,10,434
150,201,434
9,71,268
22855452,11,36
78,200,261
56,152,463
76,130,463
17,72,36
61,160,463
9,122,463
1176139,30,36
5,100,465
7,121,461
1063,10,466
25,130,248
4925,152,247
4,153,247
33,120,248
1,80,465
9,60,465
1,61,466
3,180,260
10,202,464
4159,61,247
8729105,11,37
5,130,435
53081,200,242
69407,210,242
26928,150,242
29406,140,242
69452,180,242
136183,120,242
120892,130,242
17301,152,242
33355,100,242
6701,190,242
982,110,242
77316,70,242
5,201,259
233,110,247
218671,71,242
265,100,462
11,40,465
3,130,462
121,40,434
3181,60,247
8,160,434
148,11,434
15849,190,247
161,122,247
1335,70,263
638,210,263
637,110,263
10787,130,263
449,180,263
65,200,263
1483,120,263
748,150,263
386,11,263
1,30,465
439,100,263
5,11,465
68,121,263
143,210,262
186,70,262
173,110,262
4967,130,262
89,100,262
1,40,263
368,150,262
37,10,263
32,11,262
18,200,262
87,180,262
4,30,262
1,10,262
131,120,262
20,90,248
34,30,263
2,160,435
1,110,264
8,10,465
2,210,264
289358,30,37
12,201,462
1119,210,255
9745,110,257
6153,210,257
15905,130,257
2799,70,257
1823,100,257
12796,180,257
42,130,255
1468,190,257
252,40,257
998,30,257
